question_id,question_text,option_a,option_b,option_c,option_d,correct_option,image_url
NOVAS_1,What is 2 + 2?,3,4,5,6,b,
NOVAS_2,Which color is the sky on a sunny day?,Red,Green,Blue,Yellow,c,
NOVAS_3,How many legs does a dog have?,2,3,4,5,c,
NOVAS_4,What is the opposite of hot?,Cold,Warm,Mild,Cool,a,
NOVAS_5,Which animal says "meow"?,Dog,Cat,Cow,Bird,b,
NOVAS_6,What do we use to write on paper?,Pen,Fork,Spoon,Plate,a,
NOVAS_7,How many wheels does a bicycle have?,1,2,3,4,b,
NOVAS_8,What is 5 + 3?,7,8,9,10,b,
NOVAS_9,Which fruit is yellow and curved?,Apple,Banana,Orange,Grape,b,
NOVAS_10,What comes after Monday?,Tuesday,Wednesday,Sunday,Friday,a,
NOVAS_11,How many fingers does a hand have?,4,5,6,7,b,
NOVAS_12,Which shape has three sides?,Square,Triangle,Circle,Rectangle,b,
NOVAS_13,What is the opposite of big?,Large,Small,Tall,Long,b,
NOVAS_14,How many wheels does a car have?,3,4,5,6,b,
NOVAS_15,What is 10 - 3?,6,7,8,9,b,
NOVAS_16,Which animal can fly?,Dog,Fish,Bird,Cat,c,
NOVAS_17,What do we drink water from?,Plate,Cup,Fork,Bowl,b,
NOVAS_18,How many eyes does a human have?,1,2,3,4,b,
NOVAS_19,What is the capital of France?,London,Berlin,Paris,Madrid,c,
NOVAS_20,Which planet do we live on?,Mars,Venus,Earth,Mercury,c,
NOVAS_21,What is 6 + 4?,9,10,11,12,b,
NOVAS_22,How many months are in a year?,10,11,12,13,c,
NOVAS_23,What is the opposite of night?,Day,Morning,Evening,Afternoon,a,
NOVAS_24,Which is the largest ocean?,Pacific,Atlantic,Indian,Arctic,a,
NOVAS_25,What is 8 + 7?,14,15,16,17,b,
