question_id,question_text,option_a,option_b,option_c,option_d,correct_option,image_url
TITAN_1,What is the derivative of x²?,x,2x,3x,x²,b,
TITAN_2,How many valence electrons does carbon have?,2,3,4,5,c,
TITAN_3,What is the solution to 3x + 5 = 20?,3,5,7,10,c,
TITAN_4,Which organ pumps blood throughout the body?,Lung,Heart,Liver,Kidney,b,
TITAN_5,What is the chemical formula for sulfuric acid?,H2SO3,H2SO4,H2SO2,H3SO4,b,
TITAN_6,How many chromosomes do humans have?,23,44,46,48,c,
TITAN_7,What is the speed of sound in air (approximate)?,300 m/s,343 m/s,400 m/s,500 m/s,b,
TITAN_8,What is photosynthesis?,Respiration,Energy production from light,Digestion,Decomposition,b,
TITAN_9,What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,c,
TITAN_10,How many moons does Jupiter have?,16,39,69,79,d,
TITAN_11,What is the Pythagorean theorem?,a+b=c,a²+b²=c²,a×b=c,a÷b=c,b,
TITAN_12,What is the pH of pure water?,6,7,8,9,b,
TITAN_13,Who wrote Romeo and Juliet?,Jane Austen,Shakespeare,Marlowe,Bacon,b,
TITAN_14,What is the integral of 2x?,x²,x²+C,2x²,x+C,b,
TITAN_15,How many bones are in the human foot?,24,26,28,30,b,
TITAN_16,What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,b,
TITAN_17,What is mitochondria?,Energy factory of cell,Protein maker,DNA storage,Waste processor,a,
TITAN_18,How many elements are on the periodic table?,100,110,118,125,c,
TITAN_19,What is the capital of Canada?,Toronto,Montreal,Ottawa,Vancouver,c,
TITAN_20,What is binary fission?,Cell division in animals,Cell division in bacteria,Sexual reproduction,Vegetative propagation,b,
TITAN_21,What is the molecular weight of CO2?,44,46,48,50,a,
TITAN_22,How many strings does a cello have?,3,4,5,6,b,
TITAN_23,What is the Great Barrier Reef?,Mountain range,River system,Coral reef,Desert,c,
TITAN_24,How many grams are in a kilogram?,100,500,1000,10000,c,
TITAN_25,What is phototropism?,Plant movement toward light,Plant movement toward water,Plant growth,Plant reproduction,a,
