question_id,question_text,option_a,option_b,option_c,option_d,correct_option,image_url
LEG_1,What is the Navier-Stokes equation used for?,Fluid dynamics,Thermodynamics,Quantum mechanics,Electromagnetism,a,
LEG_2,What is the Higgs boson?,Subatomic particle,Element,Force carrier,Star type,a,
LEG_3,What is the uncertainty principle proposed by?,Heisenberg,Einstein,Planck,Schrödinger,a,
LEG_4,How many dimensions does spacetime have?,2,3,4,5,c,
LEG_5,What is quantum entanglement?,Particles separated by distance,Particles sharing quantum state,Particles merging,Particles annihilating,b,
LEG_6,What is the Stefan-Boltzmann law about?,Radiation intensity,Molecular motion,Electric field,Magnetic field,a,
LEG_7,How many protons does uranium-235 have?,92,125,143,235,a,
LEG_8,What is tensor calculus used in?,General relativity,Classical mechanics,Quantum mechanics,Optics,a,
LEG_9,What is the Euler-Lagrange equation?,Optimization in mechanics,Wave equation,Heat equation,Diffusion equation,a,
LEG_10,What is the fine structure constant approximately?,1/137,1/100,1/50,1/200,a,
LEG_11,What is the Planck constant approximately (eV·s)?,6.626×10⁻³⁴,4.136×10⁻¹⁵,1.055×10⁻³⁴,2.998×10⁸,a,
LEG_12,What is supersymmetry in physics?,Symmetry between bosons and fermions,Rotational symmetry,Translational symmetry,Gauge symmetry,a,
LEG_13,What is the quark-gluon plasma?,State of matter at extreme temperatures,Liquid state,Gaseous state,Plasma state,a,
LEG_14,What is Yang-Mills theory?,Gauge field theory,Wave theory,Particle theory,String theory,a,
LEG_15,What is Hawking radiation?,Radiation from black holes,Radiation from stars,Radiation from atoms,Background radiation,a,
LEG_16,What is the cosmological constant related to?,Dark energy,Dark matter,Ordinary matter,Radiation,a,
LEG_17,How many fundamental forces are there in the Standard Model?,2,3,4,5,c,
LEG_18,What is renormalization in quantum field theory?,Method to handle infinities,Method to solve equations,Method to measure uncertainty,Method to calculate probability,a,
LEG_19,What is CPT symmetry?,"Charge, Parity, Time symmetry",Circular Path Theorem,Coulomb Potential Theory,Conservation of Parity and Time,a,
LEG_20,What is a Calabi-Yau manifold?,Mathematical shape in string theory,Geometric shape in spacetime,Symmetry group,Wave function,a,
LEG_21,What is the AdS/CFT correspondence?,Duality between gravity and gauge theory,Correspondence between waves,Relationship between forces,Theory of everything,a,
LEG_22,What is a fermion?,Half-integer spin particle,Integer spin particle,Massless particle,Virtual particle,a,
LEG_23,What is the electroweak interaction?,Unification of electromagnetism and weak force,Interaction of electrons,Magnetic force,Electric force,a,
LEG_24,What is a boson?,Integer spin particle,Half-integer spin particle,Massless particle,Virtual particle,a,
LEG_25,What is the mass hierarchy problem in physics?,Why is gravitational force so weak,Why particles have mass,Why do they differ so much,Why is Higgs mass so small,d,
